NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3734682,49,12,62765,4801.917,1100,1646.6667,1660,0,0,0,395.25
3734702,87,12,48283,965,519,108.3333,30,0,0,293,0
3734714,21,13,3540.2,518.4,0,388,0,0,0,0,21.0667
3734742,61,15,145023,4659.917,1835,780,0,0,0,758.3333,1061.5833
3734752,27,15,96782,4063.333,2055,498.3333,233.333,30,40,381.6667,765
3734792,60,13,49056.6,4586.067,2298,1040,723.333,148,0,40,301.7333
3734802,61,12,64771,4237.5,858.333,910,964.333,80,0,311.3333,768.5
3734812,27,13,59048.6,4744.55,1897,650,426.667,133,11,940,646.8833
3734862,27,15,113302,6811.833,2308.333,1105,2140,97,0,8.6667,886.1667
3734872,49,14,21781.2,3897.767,1244,520,1275,640,0,120,77.1
3734922,32,10,78658.6,6122.112,3363.333,391.6667,266.667,0,0,0,1036.4456
3734932,48,13,47334,4737,2407,544.3333,692.667,178,0,32.6667,740.6667
3734982,35,14,42311.8,5119.6,1839.667,1287.6667,1250,178,0,54,221.2667
3735012,79,15,106582.4,5556,1051.667,2145,158.333,370,16.6667,516,0
3735052,70,14,20859,2731.5,962.667,671.6667,426,145,0,250,22
3735062,71,12,14568,1547,407,242.6667,653,71,13.3333,0,0
3735092,62,16,99177,2584.083,603.333,563.3333,200,25,0,366.3333,811.0833
3735162,46,15,202070.4,9306.6,3060.667,921.6667,466.667,470,0,2047.3333,1826.9333
3735202,87,13,15488,4035,1900,455,360,71,0,1219,0
3735212,47,14,35594,2067.333,1186.333,238.3333,231,0,6.6667,150,255
3735262,78,15,12909,6383,1965.333,650,590.667,170,0,2852,0
3735272,71,10,32460,1842.667,546,260,43.667,140,0,828,0
3735282,37,10,45643,2285.917,1591.667,238.3333,95.333,53,83.3333,0,184.25
3735292,72,13,76894.8,5941.446,608.333,585,0,285,251.6667,0,1036.4456
3735372,60,13,79885,4919.25,1231.667,455,120,0,0,813.3333,599.25
3735392,37,12,73140.2,5022.75,2984,910,464,12,60,20,472.75
3735412,57,13,74581,2402.167,680,498.3333,65,240,0,47.6667,529.1667
3735422,49,13,36871,1816.667,640,411.6667,150,0,0,320,295
3735432,38,13,46770,3357.75,1738,294.6667,473,174,0,342.6667,318.75
3735442,87,16,5633,6136.333,2953.333,563.3333,100,816,0,1487,0
3735472,34,0,37118,2054.833,960,563.3333,336,0,0,0,178.5
3735482,54,14,99114.6,5365.95,1071.667,650,928.333,200,0,1751,739.95
3735492,48,15,113733.8,11411.383,3689.667,1554.3333,3835,557,20,0,940.05
3735542,76,15,27456,4335.333,992,888.3333,315,0,0,340,0
3735572,78,12,16111.2,1247.333,306.667,485.3333,35,43,0,130,0
3735582,67,15,142567.6,5488,1992.25,1083.3333,241.667,46,212,266.6667,729.4167
3735612,42,13,217338.6,9350.479,2666.667,1280.6667,893.333,1307,52,330,1304.1456
3735622,32,13,130276.8,6735.779,733.667,866.6667,2351,95,0,270,1036.4456
3735642,45,11,31002,1962.417,347.5,489.6667,120,42,452,0,139.5833
3735652,41,13,21560,801.85,300,454.3333,0,0,0,0,47.5167
3735672,60,14,64287,4641.167,2420,468,264.667,196,11,445,478.1667
3735682,52,15,165422.6,3602.779,1386.333,496,100,114,0,470,1036.4456
3735742,36,15,87435,3500.667,2282.333,498.3333,120,20,0,0,570
3735772,40,15,95880,5407.583,1966.667,1203.3333,1400,150,0,0,637.5833
3735802,70,16,35426.4,11997.583,9483.25,1366.6667,802,189,0,20,0
3735822,62,10,96110.4,3432.433,380.667,910,827,0,0,346.6667,687.4333
